Elem,Load,Stage,Step,Part,Axial (kN),Shear-y (kN),Shear-z (kN),Torsion (kN·m),Moment-y (kN·m),Moment-z (kN·m)
1001,Summation,001_B_STG_SGPT,001(last),I[1001],0,0,0,0,0,0
1001,Summation,001_B_STG_SGPT,001(last),J[1002],0,0,0,0,0,0
1001,Summation,002_C_STG_SGPT,001(last),I[1001],0,0,0,0,0,0
1001,Summation,002_C_STG_SGPT,001(last),J[1002],0,0,0,0,0,0
1001,Summation,003_E_STG_SGPT,001(last),I[1001],0,0,0,0,0,0
1001,Summation,003_E_STG_SGPT,001(last),J[1002],0,0,0,0,0,0
1001,Summation,003_F_STG_SGPT,002(last),I[1001],0,0,0,0,0,0
1001,Summation,003_F_STG_SGPT,002(last),J[1002],0,0,0,0,0,0
1001,Summation,004_G_STG_SGPT,001(last),I[1001],0,0,0,0,0,0
1001,Summation,004_G_STG_SGPT,001(last),J[1002],0,0,0,0,0,0
1001,Summation,005_A_STG_SG01,001(last),I[1001],0,0,0,0,0,0
1001,Summation,005_A_STG_SG01,001(last),J[1002],0,0,0,0,0,0
1001,Summation,006_B_STG_SG01,001(last),I[1001],0,0,0,0,0,0
1001,Summation,006_B_STG_SG01,001(last),J[1002],0,0,0,0,0,0
1001,Summation,007_C_STG_SG01,001(last),I[1001],0,0,0,0,0,0
1001,Summation,007_C_STG_SG01,001(last),J[1002],0,0,0,0,0,0
1001,Summation,008_D_STG_SG01,001(last),I[1001],0,0,0,0,0,0
1001,Summation,008_D_STG_SG01,001(last),J[1002],0,0,0,0,0,0
1001,Summation,009_E_STG_SG01,001(last),I[1001],0,0,0,0,0,0
1001,Summation,009_E_STG_SG01,001(last),J[1002],0,0,0,0,0,0
1001,Summation,010_F_STG_SG01,002(last),I[1001],0,0,0,0,0,0
1001,Summation,010_F_STG_SG01,002(last),J[1002],0,0,0,0,0,0
1001,Summation,011_G_STG_SG01,001(last),I[1001],0,0,0,0,0,0
1001,Summation,011_G_STG_SG01,001(last),J[1002],0,0,0,0,0,0
1001,Summation,012_A_STG_SG02,001(last),I[1001],0,0,0,0,0,0
1001,Summation,012_A_STG_SG02,001(last),J[1002],0,0,0,0,0,0
1001,Summation,013_B_STG_SG02,001(last),I[1001],0,0,0,0,0,0
1001,Summation,013_B_STG_SG02,001(last),J[1002],0,0,0,0,0,0
1001,Summation,014_C_STG_SG02,001(last),I[1001],0,0,0,0,0,0
1001,Summation,014_C_STG_SG02,001(last),J[1002],0,0,0,0,0,0
1001,Summation,015_D_STG_SG02,001(last),I[1001],0,0,0,0,0,0
1001,Summation,015_D_STG_SG02,001(last),J[1002],0,0,0,0,0,0
1001,Summation,016_E_STG_SG02,001(last),I[1001],0,0,0,0,0,0
1001,Summation,016_E_STG_SG02,001(last),J[1002],0,0,0,0,0,0
1001,Summation,017_F_STG_SG02,002(last),I[1001],0,0,0,0,0,0
1001,Summation,017_F_STG_SG02,002(last),J[1002],0,0,0,0,0,0
1001,Summation,018_G_STG_SG02,001(last),I[1001],0,0,0,0,0,0
1001,Summation,018_G_STG_SG02,001(last),J[1002],0,0,0,0,0,0
1001,Summation,019_A_STG_SG03,001(last),I[1001],0,0,0,0,0,0
1001,Summation,019_A_STG_SG03,001(last),J[1002],0,0,0,0,0,0
1001,Summation,020_B_STG_SG03,001(last),I[1001],0,0,0,0,0,0
1001,Summation,020_B_STG_SG03,001(last),J[1002],0,0,0,0,0,0
1001,Summation,021_C_STG_SG03,001(last),I[1001],0,0,0,0,0,0
1001,Summation,021_C_STG_SG03,001(last),J[1002],0,0,0,0,0,0
1001,Summation,022_D_STG_SG03,001(last),I[1001],0,0,0,0,0,0
1001,Summation,022_D_STG_SG03,001(last),J[1002],0,0,0,0,0,0
1001,Summation,023_E_STG_SG03,001(last),I[1001],0,0,0,0,0,0
1001,Summation,023_E_STG_SG03,001(last),J[1002],0,0,0,0,0,0
1001,Summation,024_F_STG_SG03,002(last),I[1001],0,0,0,0,0,0
1001,Summation,024_F_STG_SG03,002(last),J[1002],0,0,0,0,0,0
1001,Summation,025_G_STG_SG03,001(last),I[1001],0,0,0,0,0,0
1001,Summation,025_G_STG_SG03,001(last),J[1002],0,0,0,0,0,0
1001,Summation,026_A_STG_SG04,001(last),I[1001],0,0,0,0,0,0
1001,Summation,026_A_STG_SG04,001(last),J[1002],0,0,0,0,0,0
